,name,image,profile,
0,石田 優美,http://www.nmb48.com/member/ishida_yuumi/images/img_photo_small.jpg,http://www.nmb48.com/member/ishida_yuumi,
1,泉 綾乃,http://www.nmb48.com/member/izumi_ayano/images/img_photo_small.jpg,http://www.nmb48.com/member/izumi_ayano,
2,川上 千尋,http://www.nmb48.com/member/kawakami_chihiro/images/img_photo_small.jpg,http://www.nmb48.com/member/kawakami_chihiro,
3,河野 奈々帆,http://www.nmb48.com/member/kawano_nanaho/images/img_photo_small.jpg,http://www.nmb48.com/member/kawano_nanaho,
4,坂本 夏海,http://www.nmb48.com/member/sakamoto_nami/images/img_photo_small.jpg,http://www.nmb48.com/member/sakamoto_nami,
5,貞野 遥香,http://www.nmb48.com/member/sadano_haruka/images/img_photo_small.jpg,http://www.nmb48.com/member/sadano_haruka,
6,清水 里香,http://www.nmb48.com/member/shimizu_rika/images/img_photo_small.jpg,http://www.nmb48.com/member/shimizu_rika,
7,菖蒲 まりん,http://www.nmb48.com/member/shobu_marin/images/img_photo_small.jpg,http://www.nmb48.com/member/shobu_marin,
8,南 羽諒,http://www.nmb48.com/member/minami_haasa/images/img_photo_small.jpg,http://www.nmb48.com/member/minami_haasa,
9,村瀬 紗英,http://www.nmb48.com/member/murase_sae/images/img_photo_small.jpg,http://www.nmb48.com/member/murase_sae,
10,山崎 亜美瑠,http://www.nmb48.com/member/yamasaki_amiru/images/img_photo_small.jpg,http://www.nmb48.com/member/yamasaki_amiru,
11,吉田 朱里,http://www.nmb48.com/member/yoshida_akari/images/img_photo_small.jpg,http://www.nmb48.com/member/yoshida_akari,
12,安部 若菜,http://www.nmb48.com/member/abe_wakana/images/img_photo_small.jpg,http://www.nmb48.com/member/abe_wakana,
13,石塚 朱莉,http://www.nmb48.com/member/ishizuka_akari/images/img_photo_small.jpg,http://www.nmb48.com/member/ishizuka_akari,
14,井尻 晏菜,http://www.nmb48.com/member/ijiri_anna/images/img_photo_small.jpg,http://www.nmb48.com/member/ijiri_anna,
15,鵜野 みずき,http://www.nmb48.com/member/uno_mizuki/images/img_photo_small.jpg,http://www.nmb48.com/member/uno_mizuki,
16,渋谷 凪咲,http://www.nmb48.com/member/shibuya_nagisa/images/img_photo_small.jpg,http://www.nmb48.com/member/shibuya_nagisa,
17,白間 美瑠,http://www.nmb48.com/member/shiroma_miru/images/img_photo_small.jpg,http://www.nmb48.com/member/shiroma_miru,
18,杉浦 琴音,http://www.nmb48.com/member/sugiura_kotone/images/img_photo_small.jpg,http://www.nmb48.com/member/sugiura_kotone,
19,出口 結菜,http://www.nmb48.com/member/deguchi_yuina/images/img_photo_small.jpg,http://www.nmb48.com/member/deguchi_yuina,
20,堀 詩音,http://www.nmb48.com/member/hori_shion/images/img_photo_small.jpg,http://www.nmb48.com/member/hori_shion,
